Date,Close,Volume,Open,High,Low
3/20/19,"$1,797.27 ",6153806,"$1,769.94 ","$1,799.50 ","$1,767.03 "
3/19/19,"$1,761.85 ",6339232,"$1,753.51 ","$1,784.16 ","$1,753.51 "
3/18/19,"$1,742.15 ",5403392,"$1,712.70 ","$1,750 ","$1,712.63 "
3/15/19,"$1,712.36 ",7538300,"$1,703 ","$1,718.80 ","$1,693.13 "
3/14/19,"$1,686.22 ",2937759,"$1,691.20 ","$1,702 ","$1,684.34 "
3/13/19,"$1,690.81 ",3540837,"$1,683 ","$1,700 ","$1,679.35 "
3/12/19,"$1,673.10 ",3562993,"$1,669 ","$1,684.27 ","$1,660.98 "
3/11/19,"$1,670.62 ",3797298,"$1,626.12 ","$1,672.29 ","$1,626.01 "
3/8/19,"$1,620.80 ",4659945,"$1,604.01 ","$1,622.72 ","$1,586.57 "
3/7/19,"$1,625.95 ",4945564,"$1,667.37 ","$1,669.75 ","$1,620.51 "
3/6/19,"$1,668.95 ",3984996,"$1,695.97 ","$1,697.75 ","$1,668.28 "
3/5/19,"$1,692.43 ",3667977,"$1,702.95 ","$1,707.80 ","$1,689.01 "
3/4/19,"$1,696.17 ",6154237,"$1,685 ","$1,709.43 ","$1,674.36 "
3/1/19,"$1,671.73 ",4661618,"$1,655.13 ","$1,674.26 ","$1,651 "
2/28/19,"$1,639.83 ",3016008,"$1,635.25 ","$1,651.77 ","$1,633.83 "
2/27/19,"$1,641.09 ",3141146,"$1,628.18 ","$1,641.81 ","$1,615.10 "
2/26/19,"$1,636.40 ",2657019,"$1,625.98 ","$1,639.99 ","$1,616.13 "
2/25/19,"$1,633 ",3169190,"$1,641.45 ","$1,654.60 ","$1,630.39 "
2/22/19,"$1,631.56 ",3090342,"$1,623.50 ","$1,634.94 ","$1,621.17 "
2/21/19,"$1,619.44 ",3460682,"$1,619.85 ","$1,623.56 ","$1,600.91 "
2/20/19,"$1,622.10 ",3314310,"$1,630 ","$1,634.93 ","$1,610.12 "
2/19/19,"$1,627.58 ",3671821,"$1,601 ","$1,634 ","$1,600.56 "
2/15/19,"$1,607.95 ",4333397,"$1,627.86 ","$1,628.91 ","$1,604.50 "
